
지역,호수,총대수,옥내,옥내(전기자동차),옥외,옥외(전기자동차)
계,10061542,9407732.8,17738658,5606,556520,246
서울특별시,1591430,1406585.3,164263,243,11765,1
부산광역시,650077,516788,74951,12,18176,0
대구광역시,564288,561431,85625,290,30748,0
인천광역시,561015,513833,72694,525,9874,7
광주광역시,369265,343303,40961,60,13433,0
대전광역시,301196,301125.1,38023,40,8623,40
울산광역시,168958,189323,39278,461,11837,38
세종특별자치시,80157,104044,71323,6,19558,0
경기도,2628615,2867196.8,656240.8,1201,221383,0
강원도,320437,244379,43697,8,23851,49
충청북도,338250,295174,66758,11,33417,0
충청남도,453088,398642,95468,977,29733,0
전라북도,379742,342635,52350,38,24523,0
전라남도,331356,246591,46882,40,17678,0
경상북도,494852,406284,89036,1550,40786,111
경상남도,774542,624254.5,130320,110,32316,0
제주특별자치도,54274,46144,5996,34,8819,0
