,단지코드,총세대수,지역,주소,공급유형,전용면적,전용면적별세대수,준공일자,매입일자,단지명,등록차량수
0,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,74.97,72.0,,,고양원흥6BL,1573.0
1,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,74.97,134.0,,,고양원흥6BL,1573.0
2,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,74.96,128.0,,,고양원흥6BL,1573.0
3,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,74.98,42.0,,,고양원흥6BL,1573.0
4,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,74.99,13.0,,,고양원흥6BL,1573.0
5,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,74.97,26.0,,,고양원흥6BL,1573.0
6,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.93,10.0,,,고양원흥6BL,1573.0
7,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.93,32.0,,,고양원흥6BL,1573.0
8,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.94,20.0,,,고양원흥6BL,1573.0
9,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.76,14.0,,,고양원흥6BL,1573.0
10,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.97,38.0,,,고양원흥6BL,1573.0
11,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.97,38.0,,,고양원흥6BL,1573.0
12,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.79,10.0,,,고양원흥6BL,1573.0
13,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.98,168.0,,,고양원흥6BL,1573.0
14,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.98,66.0,,,고양원흥6BL,1573.0
15,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.38,30.0,,,고양원흥6BL,1573.0
16,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.38,124.0,,,고양원흥6BL,1573.0
17,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.38,80.0,,,고양원흥6BL,1573.0
18,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.58,44.0,,,고양원흥6BL,1573.0
19,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.88,172.0,,,고양원흥6BL,1573.0
20,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.68,84.0,,,고양원흥6BL,1573.0
21,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.97,15.0,,,고양원흥6BL,1573.0
22,C01793,1392.0,경기도,경기도 고양시 덕양구 도내동 1103 엘에이치도래울 마을 6단지,공공분양,84.97,32.0,,,고양원흥6BL,1573.0
